tipologia;autore_saggio;precisazione_ autore;titolo_saggio;autore_curatore_volume;precisazione_curatore;titolo_volume;luogo;editore;anno;volumi;rivista;annata;fascicolo;pagine
articolo in volume miscellaneo;Rossi, Paolo;;Le quattro stagioni degli scienziati pisani. La Facoltà di Scienze Matematiche, Fisiche e Naturali;;;L'organizzazione dei saperi all'Università di Pisa. Dalle Facoltà ai nuovi Dipartimenti;Pisa;Pisa University Press;2012;;;;;135-158
articolo in volume miscellaneo;Terreni, Pierangelo;;La Facoltà di Ingegneria;;;L'organizzazione dei saperi all'Università di Pisa. Dalle Facoltà ai nuovi Dipartimenti;Pisa;Pisa University Press;2012;;;;;159-182
poligrafia;;;;;;L'organizzazione dei saperi all'Università di Pisa. Dalle Facoltà ai nuovi Dipartimenti;Pisa;Pisa University Press;2012;;;;;238
articolo in volume miscellaneo;Moretti, Mauro - Porciani, Ilaria;;L'Università;Sabbatucci, Giovanni - Vidotto, Vittorio;(direttori);L'unificazione italiana;Roma;Istituto della Enciclopedia italiana;2011;;;;;631-650
monografia;;;;Baldacci, Giuseppe;;L'Università degli Studi di Catania tra XVIII e XIX secolo;Acireale;Bonanno;2008;;;;;185
monografia;;;;Cestari, Greta - Deidda Gagliardo, Enrico - Madonna, Salvatore;;L'Università degli studi di Ferrara e la Fondazione Collegio San Carlo di Modena. Evoluzione storica dei modelli di governance e dei sistemi informativi in ottica comparata;Roma;RIREA;2010;;;;;74
poligrafia;;;;Pomante, Luigiaurelio;a cura di;L'Università di Macerata nell'Italia unita (1861-1966). Un secolo di storia dell'ateneo maceratese attraverso le relazioni inaugurali dei rettori e altre fonti archivistiche e a stampa;Macerata;EUM;2012;;;;;807
monografia;;;;Palmisciano, Giuseppe;;L'Università di Napoli nell'età della Restaurazione. Tra amalgama, moti e repressione;Bologna;il Mulino;2012;;;;;417
monografia;;;;Berti, Giampietro;;L'Università di Padova dal 1814 al 1850;Treviso;Antilia;2011;;;;;657
poligrafia;;;;Azzaro, Bartolomeo;a cura di;L'Università di Roma “La Sapienza”e le Università Italiane;Roma;Gangemi ;2008;;;;;350
monografia;;;;Flaiani, Enrico;;L'Università di Roma dal 1824 al 1852. Docenti, programmi ed esami tra le riforme di Leone XII a quelle di Pio IX;Città del Vaticano;Archivio Segreto Vaticano;2012;;;;;325
